State,County,"Total law
KANSAS-Nonmetropolitan Counties,Barton,40,19,21
KANSAS-Nonmetropolitan Counties,Bourbon,11,9,2
KANSAS-Nonmetropolitan Counties,Brown,23,7,16
KANSAS-Nonmetropolitan Counties,Chase,9,5,4
KANSAS-Nonmetropolitan Counties,Cherokee,49,20,29
KANSAS-Nonmetropolitan Counties,Cheyenne,4,4,0
KANSAS-Nonmetropolitan Counties,Clark,11,6,5
KANSAS-Nonmetropolitan Counties,Clay,20,8,12
KANSAS-Nonmetropolitan Counties,Cloud,16,9,7
KANSAS-Nonmetropolitan Counties,Coffey,31,13,18
KANSAS-Nonmetropolitan Counties,Cowley,52,22,30
KANSAS-Nonmetropolitan Counties,Crawford,69,32,37
KANSAS-Nonmetropolitan Counties,Decatur,3,3,0
KANSAS-Nonmetropolitan Counties,Dickinson,28,16,12
KANSAS-Nonmetropolitan Counties,Edwards,10,6,4
KANSAS-Nonmetropolitan Counties,Elk,9,4,5
KANSAS-Nonmetropolitan Counties,Ellis,29,17,12
KANSAS-Nonmetropolitan Counties,Ellsworth,16,8,8
KANSAS-Nonmetropolitan Counties,Finney,92,35,57
KANSAS-Nonmetropolitan Counties,Ford,64,27,37
KANSAS-Nonmetropolitan Counties,Gove,4,3,1
KANSAS-Nonmetropolitan Counties,Graham,7,3,4
KANSAS-Nonmetropolitan Counties,Grant,16,7,9
KANSAS-Nonmetropolitan Counties,Greenwood,21,12,9
KANSAS-Nonmetropolitan Counties,Hamilton,12,6,6
KANSAS-Nonmetropolitan Counties,Harper,7,6,1
KANSAS-Nonmetropolitan Counties,Haskell,16,11,5
KANSAS-Nonmetropolitan Counties,Hodgeman,8,4,4
KANSAS-Nonmetropolitan Counties,Kearny,21,12,9
KANSAS-Nonmetropolitan Counties,Kingman,17,7,10
KANSAS-Nonmetropolitan Counties,Kiowa,19,8,11
KANSAS-Nonmetropolitan Counties,Labette,35,17,18
KANSAS-Nonmetropolitan Counties,Lane,10,5,5
KANSAS-Nonmetropolitan Counties,Lincoln,12,7,5
KANSAS-Nonmetropolitan Counties,Logan,4,3,1
KANSAS-Nonmetropolitan Counties,Lyon,90,25,65
KANSAS-Nonmetropolitan Counties,Marshall,20,8,12
KANSAS-Nonmetropolitan Counties,McPherson,34,16,18
KANSAS-Nonmetropolitan Counties,Meade,16,5,11
KANSAS-Nonmetropolitan Counties,Mitchell,17,7,10
KANSAS-Nonmetropolitan Counties,Montgomery,34,24,10
KANSAS-Nonmetropolitan Counties,Morton,11,6,5
KANSAS-Nonmetropolitan Counties,Nemaha,18,9,9
KANSAS-Nonmetropolitan Counties,Neosho,37,14,23
KANSAS-Nonmetropolitan Counties,Ness,12,7,5
KANSAS-Nonmetropolitan Counties,Norton,10,5,5
KANSAS-Nonmetropolitan Counties,Osborne,14,8,6
KANSAS-Nonmetropolitan Counties,Ottawa,19,6,13
KANSAS-Nonmetropolitan Counties,Pawnee,15,8,7
KANSAS-Nonmetropolitan Counties,Pratt,14,8,6
KANSAS-Nonmetropolitan Counties,Rawlins,8,3,5
KANSAS-Nonmetropolitan Counties,Reno,80,43,37
KANSAS-Nonmetropolitan Counties,Republic,13,8,5
KANSAS-Nonmetropolitan Counties,Rush,9,4,5
KANSAS-Nonmetropolitan Counties,Russell,19,11,8
KANSAS-Nonmetropolitan Counties,Saline,101,47,54
KANSAS-Nonmetropolitan Counties,Scott,7,3,4
KANSAS-Nonmetropolitan Counties,Seward,47,16,31
KANSAS-Nonmetropolitan Counties,Sheridan,6,3,3
KANSAS-Nonmetropolitan Counties,Sherman,12,7,5
KANSAS-Nonmetropolitan Counties,Smith,6,5,1
KANSAS-Nonmetropolitan Counties,Stafford,9,4,5
KANSAS-Nonmetropolitan Counties,Thomas,13,12,1
KANSAS-Nonmetropolitan Counties,Trego,4,3,1
KANSAS-Nonmetropolitan Counties,Wallace,6,2,4
KANSAS-Nonmetropolitan Counties,Washington,15,7,8
KANSAS-Nonmetropolitan Counties,Wichita,8,4,4
KENTUCKY-Metropolitan Counties,Boone,138,130,8
KENTUCKY-Metropolitan Counties,Bourbon,9,8,1
KENTUCKY-Metropolitan Counties,Boyd,35,28,7
KENTUCKY-Metropolitan Counties,Bullitt,48,43,5
KENTUCKY-Metropolitan Counties,Campbell,12,9,3
KENTUCKY-Metropolitan Counties,Campbell County Police Department,32,31,1
KENTUCKY-Metropolitan Counties,Christian,34,30,4
KENTUCKY-Metropolitan Counties,Clark,17,13,4
KENTUCKY-Metropolitan Counties,Daviess,45,40,5
KENTUCKY-Metropolitan Counties,Edmonson,9,7,2
KENTUCKY-Metropolitan Counties,Gallatin,11,10,1
KENTUCKY-Metropolitan Counties,Greenup,17,15,2
KENTUCKY-Metropolitan Counties,Hardin,39,27,12
KENTUCKY-Metropolitan Counties,Henry,9,8,1
KENTUCKY-Metropolitan Counties,Jefferson,268,216,52
KENTUCKY-Metropolitan Counties,Jessamine,32,24,8
KENTUCKY-Metropolitan Counties,Kenton County Police Department,35,33,2
KENTUCKY-Metropolitan Counties,Meade,12,9,3
KENTUCKY-Metropolitan Counties,Nelson,30,23,7
KENTUCKY-Metropolitan Counties,Oldham,16,14,2
KENTUCKY-Metropolitan Counties,Pendleton,7,6,1
KENTUCKY-Metropolitan Counties,Scott,33,31,2
KENTUCKY-Metropolitan Counties,Shelby,25,23,2
KENTUCKY-Metropolitan Counties,Spencer,8,7,1
KENTUCKY-Metropolitan Counties,Trigg,8,5,3
KENTUCKY-Metropolitan Counties,Trimble,1,1,0
KENTUCKY-Metropolitan Counties,Warren,79,56,23
KENTUCKY-Metropolitan Counties,Webster,9,7,2
KENTUCKY-Metropolitan Counties,Woodford,13,9,4
KENTUCKY-Nonmetropolitan Counties,Adair,8,6,2
KENTUCKY-Nonmetropolitan Counties,Anderson,16,14,2
KENTUCKY-Nonmetropolitan Counties,Barren,22,18,4
KENTUCKY-Nonmetropolitan Counties,Bath,4,3,1
KENTUCKY-Nonmetropolitan Counties,Bell,25,15,10
KENTUCKY-Nonmetropolitan Counties,Breckinridge,10,8,2
KENTUCKY-Nonmetropolitan Counties,Butler,8,6,2
KENTUCKY-Nonmetropolitan Counties,Caldwell,9,7,2
KENTUCKY-Nonmetropolitan Counties,Calloway,22,11,11
KENTUCKY-Nonmetropolitan Counties,Carlisle,3,2,1
KENTUCKY-Nonmetropolitan Counties,Carroll,5,4,1
KENTUCKY-Nonmetropolitan Counties,Carter,11,9,2
KENTUCKY-Nonmetropolitan Counties,Casey,8,6,2
KENTUCKY-Nonmetropolitan Counties,Clinton,5,4,1
KENTUCKY-Nonmetropolitan Counties,Crittenden,4,3,1
KENTUCKY-Nonmetropolitan Counties,Cumberland,5,4,1
KENTUCKY-Nonmetropolitan Counties,Fleming,8,8,0
KENTUCKY-Nonmetropolitan Counties,Franklin,22,18,4
KENTUCKY-Nonmetropolitan Counties,Fulton,4,3,1
KENTUCKY-Nonmetropolitan Counties,Garrard,9,8,1
KENTUCKY-Nonmetropolitan Counties,Graves,14,11,3
KENTUCKY-Nonmetropolitan Counties,Grayson,11,8,3
KENTUCKY-Nonmetropolitan Counties,Green,5,5,0
KENTUCKY-Nonmetropolitan Counties,Harlan,24,20,4
KENTUCKY-Nonmetropolitan Counties,Harrison,10,10,0
KENTUCKY-Nonmetropolitan Counties,Hopkins,26,18,8
KENTUCKY-Nonmetropolitan Counties,Jackson,13,6,7
KENTUCKY-Nonmetropolitan Counties,Johnson,14,11,3
KENTUCKY-Nonmetropolitan Counties,Knott,9,6,3
KENTUCKY-Nonmetropolitan Counties,Knox,12,8,4
KENTUCKY-Nonmetropolitan Counties,Laurel,33,28,5
KENTUCKY-Nonmetropolitan Counties,Lawrence,9,6,3
KENTUCKY-Nonmetropolitan Counties,Lee,4,2,2
KENTUCKY-Nonmetropolitan Counties,Leslie,9,5,4
KENTUCKY-Nonmetropolitan Counties,Letcher,13,11,2
KENTUCKY-Nonmetropolitan Counties,Lewis,5,3,2
KENTUCKY-Nonmetropolitan Counties,Lincoln,11,9,2
KENTUCKY-Nonmetropolitan Counties,Livingston,7,6,1
KENTUCKY-Nonmetropolitan Counties,Logan,19,19,0
KENTUCKY-Nonmetropolitan Counties,Lyon,5,5,0
KENTUCKY-Nonmetropolitan Counties,Madison,30,22,8
KENTUCKY-Nonmetropolitan Counties,Magoffin,5,4,1
KENTUCKY-Nonmetropolitan Counties,Marion,9,7,2
KENTUCKY-Nonmetropolitan Counties,Marshall,25,22,3
KENTUCKY-Nonmetropolitan Counties,McCracken,44,38,6
KENTUCKY-Nonmetropolitan Counties,McCreary,8,6,2
KENTUCKY-Nonmetropolitan Counties,Mercer,16,7,9
KENTUCKY-Nonmetropolitan Counties,Metcalfe,6,4,2
KENTUCKY-Nonmetropolitan Counties,Monroe,7,4,3
KENTUCKY-Nonmetropolitan Counties,Muhlenberg,16,15,1
KENTUCKY-Nonmetropolitan Counties,Nicholas,1,1,0
KENTUCKY-Nonmetropolitan Counties,Owen,7,5,2
KENTUCKY-Nonmetropolitan Counties,Owsley,3,2,1
KENTUCKY-Nonmetropolitan Counties,Perry County Police Department,2,2,0
KENTUCKY-Nonmetropolitan Counties,Pike,28,17,11
KENTUCKY-Nonmetropolitan Counties,Rockcastle,4,3,1
KENTUCKY-Nonmetropolitan Counties,Rowan,15,11,4
KENTUCKY-Nonmetropolitan Counties,Russell,11,10,1
KENTUCKY-Nonmetropolitan Counties,Taylor,14,12,2
KENTUCKY-Nonmetropolitan Counties,Todd,6,4,2
KENTUCKY-Nonmetropolitan Counties,Union,9,8,1
KENTUCKY-Nonmetropolitan Counties,Washington,8,6,2
KENTUCKY-Nonmetropolitan Counties,Wayne,12,10,2
KENTUCKY-Nonmetropolitan Counties,Whitley,16,12,4
KENTUCKY-Nonmetropolitan Counties,Wolfe,4,3,1
LOUISIANA-Metropolitan Counties,Ascension,281,244,37
LOUISIANA-Metropolitan Counties,Bossier,375,300,75
LOUISIANA-Metropolitan Counties,Caddo,658,433,225
LOUISIANA-Metropolitan Counties,Calcasieu,845,431,414
LOUISIANA-Metropolitan Counties,Cameron,70,60,10
LOUISIANA-Metropolitan Counties,De Soto,114,95,19
LOUISIANA-Metropolitan Counties,East Baton Rouge,876,763,113
LOUISIANA-Metropolitan Counties,East Feliciana,55,55,0
LOUISIANA-Metropolitan Counties,Jefferson,"1,404",809,595
LOUISIANA-Metropolitan Counties,Lafayette,634,459,175
LOUISIANA-Metropolitan Counties,Lafourche,360,314,46
LOUISIANA-Metropolitan Counties,Livingston,233,233,0
LOUISIANA-Metropolitan Counties,Ouachita,390,390,0
LOUISIANA-Metropolitan Counties,Plaquemines,162,161,1
LOUISIANA-Metropolitan Counties,Pointe Coupee,95,95,0
LOUISIANA-Metropolitan Counties,Rapides,463,362,101
LOUISIANA-Metropolitan Counties,St. Bernard,272,244,28
LOUISIANA-Metropolitan Counties,St. Charles,363,263,100
LOUISIANA-Metropolitan Counties,St. Helena,50,25,25
LOUISIANA-Metropolitan Counties,St. John the Baptist,252,216,36
LOUISIANA-Metropolitan Counties,St. Martin,284,134,150
LOUISIANA-Metropolitan Counties,St. Tammany,706,432,274
LOUISIANA-Metropolitan Counties,Terrebonne,359,359,0
LOUISIANA-Metropolitan Counties,Union,54,38,16
LOUISIANA-Metropolitan Counties,West Baton Rouge,179,127,52
LOUISIANA-Metropolitan Counties,West Feliciana,74,48,26
LOUISIANA-Nonmetropolitan Counties,Acadia,105,53,52
LOUISIANA-Nonmetropolitan Counties,Allen,60,34,26
LOUISIANA-Nonmetropolitan Counties,Assymption,78,46,32
LOUISIANA-Nonmetropolitan Counties,Beauregard,74,54,20
LOUISIANA-Nonmetropolitan Counties,Bienville,56,34,22
LOUISIANA-Nonmetropolitan Counties,Caldwell,31,30,1
LOUISIANA-Nonmetropolitan Counties,Claiborne,97,38,59
LOUISIANA-Nonmetropolitan Counties,Evangeline,57,22,35
LOUISIANA-Nonmetropolitan Counties,Jackson,185,185,0
LOUISIANA-Nonmetropolitan Counties,Jefferson Davis,60,48,12
LOUISIANA-Nonmetropolitan Counties,La Salle,45,25,20
LOUISIANA-Nonmetropolitan Counties,Lincoln,64,47,17
LOUISIANA-Nonmetropolitan Counties,Morehouse,147,38,109
LOUISIANA-Nonmetropolitan Counties,Natchitoches,87,61,26
LOUISIANA-Nonmetropolitan Counties,Red River,39,20,19
LOUISIANA-Nonmetropolitan Counties,Sabine,77,77,0
LOUISIANA-Nonmetropolitan Counties,St. James,96,74,22
LOUISIANA-Nonmetropolitan Counties,St. Mary,198,180,18
LOUISIANA-Nonmetropolitan Counties,Tangipahoa,291,113,178
LOUISIANA-Nonmetropolitan Counties,Tensas,29,29,0
LOUISIANA-Nonmetropolitan Counties,Vermilion,130,64,66
LOUISIANA-Nonmetropolitan Counties,Vernon,149,104,45
LOUISIANA-Nonmetropolitan Counties,Washington,90,68,22
LOUISIANA-Nonmetropolitan Counties,Webster,142,46,96
LOUISIANA-Nonmetropolitan Counties,West Carroll,20,20,0
LOUISIANA-Nonmetropolitan Counties,Winn,22,22,0
MAINE-Metropolitan Counties,Androscoggin,28,18,10
MAINE-Metropolitan Counties,Cumberland,70,59,11
MAINE-Metropolitan Counties,Penobscot,31,26,5
MAINE-Metropolitan Counties,Sagadahoc,23,20,3
MAINE-Metropolitan Counties,York,30,27,3
MAINE-Nonmetropolitan Counties,Aroostook,17,15,2
MAINE-Nonmetropolitan Counties,Franklin,25,15,10
MAINE-Nonmetropolitan Counties,Hancock,18,16,2
MAINE-Nonmetropolitan Counties,Kennebec,28,25,3
MAINE-Nonmetropolitan Counties,Knox,20,20,0
MAINE-Nonmetropolitan Counties,Lincoln,25,23,2
MAINE-Nonmetropolitan Counties,Oxford,22,21,1
MAINE-Nonmetropolitan Counties,Piscataquis,18,7,11
MAINE-Nonmetropolitan Counties,Somerset,17,15,2
MAINE-Nonmetropolitan Counties,Waldo,20,18,2
MAINE-Nonmetropolitan Counties,Washington,13,12,1
MARYLAND-Metropolitan Counties,Allegany,29,27,2
MARYLAND-Metropolitan Counties,Anne Arundel,95,69,26
MARYLAND-Metropolitan Counties,Anne Arundel County Police Department,870,658,212
MARYLAND-Metropolitan Counties,Baltimore County,97,82,15
MARYLAND-Metropolitan Counties,Baltimore County Police Department,"2,181","1,877",304
MARYLAND-Metropolitan Counties,Calvert,125,104,21
MARYLAND-Metropolitan Counties,Carroll,115,84,31
MARYLAND-Metropolitan Counties,Cecil,96,84,12
MARYLAND-Metropolitan Counties,Charles,418,288,130
MARYLAND-Metropolitan Counties,Frederick,227,166,61
MARYLAND-Metropolitan Counties,Harford,371,287,84
MARYLAND-Metropolitan Counties,Howard,67,49,18
MARYLAND-Metropolitan Counties,Howard County Police Department,626,444,182
MARYLAND-Metropolitan Counties,Montgomery,165,136,29
MARYLAND-Metropolitan Counties,Montgomery County Police Department,"1,551","1,143",408
MARYLAND-Metropolitan Counties,Prince George's,311,223,88
MARYLAND-Metropolitan Counties,Prince George's County Police Department,"1,853","1,558",295
MARYLAND-Metropolitan Counties,Queen Anne's,50,47,3
MARYLAND-Metropolitan Counties,Somerset,22,19,3
MARYLAND-Metropolitan Counties,Washington,238,93,145
MARYLAND-Metropolitan Counties,Wicomico,104,83,21
MARYLAND-Nonmetropolitan Counties,Caroline,32,29,3
MARYLAND-Nonmetropolitan Counties,Dorchester,38,34,4
MARYLAND-Nonmetropolitan Counties,Garrett,51,29,22
MARYLAND-Nonmetropolitan Counties,Kent,25,20,5
MARYLAND-Nonmetropolitan Counties,St. Mary's,273,136,137
MARYLAND-Nonmetropolitan Counties,Talbot,32,29,3
MARYLAND-Nonmetropolitan Counties,Worcester,57,46,11
MICHIGAN-Metropolitan Counties,Barry,52,31,21
MICHIGAN-Metropolitan Counties,Bay,81,36,45
MICHIGAN-Metropolitan Counties,Berrien,161,72,89
MICHIGAN-Metropolitan Counties,Calhoun,170,76,94
MICHIGAN-Metropolitan Counties,Cass,70,33,37
MICHIGAN-Metropolitan Counties,Clinton,59,25,34
MICHIGAN-Metropolitan Counties,Eaton,135,70,65
MICHIGAN-Metropolitan Counties,Genesee,209,117,92
MICHIGAN-Metropolitan Counties,Ingham,171,103,68
MICHIGAN-Metropolitan Counties,Ionia,53,22,31
MICHIGAN-Metropolitan Counties,Jackson,129,53,76
MICHIGAN-Metropolitan Counties,Kalamazoo,204,139,65
MICHIGAN-Metropolitan Counties,Kent,499,191,308
MICHIGAN-Metropolitan Counties,Lapeer,77,46,31
MICHIGAN-Metropolitan Counties,Livingston,109,63,46
MICHIGAN-Metropolitan Counties,Macomb,472,238,234
MICHIGAN-Metropolitan Counties,Monroe,158,71,87
MICHIGAN-Metropolitan Counties,Muskegon,111,96,15
MICHIGAN-Metropolitan Counties,Newaygo,62,25,37
MICHIGAN-Metropolitan Counties,Oakland,996,806,190
MICHIGAN-Metropolitan Counties,Ottawa,223,128,95
MICHIGAN-Metropolitan Counties,Saginaw,129,66,63
MICHIGAN-Metropolitan Counties,St. Clair,164,67,97
MICHIGAN-Metropolitan Counties,Van Buren,93,58,35
MICHIGAN-Metropolitan Counties,Washtenaw,297,139,158
MICHIGAN-Metropolitan Counties,Wayne,980,891,89
MICHIGAN-Nonmetropolitan Counties,Alcona,25,14,11
MICHIGAN-Nonmetropolitan Counties,Alger,11,9,2
MICHIGAN-Nonmetropolitan Counties,Allegan,56,48,8
MICHIGAN-Nonmetropolitan Counties,Alpena,25,12,13
MICHIGAN-Nonmetropolitan Counties,Antrim,48,20,28
MICHIGAN-Nonmetropolitan Counties,Arenac,21,12,9
MICHIGAN-Nonmetropolitan Counties,Baraga,13,6,7
MICHIGAN-Nonmetropolitan Counties,Benzie,35,11,24
MICHIGAN-Nonmetropolitan Counties,Branch,49,25,24
MICHIGAN-Nonmetropolitan Counties,Charlevoix,39,19,20
MICHIGAN-Nonmetropolitan Counties,Cheboygan,35,18,17
MICHIGAN-Nonmetropolitan Counties,Chippewa,37,15,22
MICHIGAN-Nonmetropolitan Counties,Clare,29,24,5
MICHIGAN-Nonmetropolitan Counties,Crawford,26,16,10
MICHIGAN-Nonmetropolitan Counties,Delta,27,13,14
MICHIGAN-Nonmetropolitan Counties,Dickinson,33,13,20
MICHIGAN-Nonmetropolitan Counties,Emmet,46,24,22
MICHIGAN-Nonmetropolitan Counties,Gladwin,40,16,24
MICHIGAN-Nonmetropolitan Counties,Gogebic,21,14,7
MICHIGAN-Nonmetropolitan Counties,Grand Traverse,123,65,58
MICHIGAN-Nonmetropolitan Counties,Gratiot,35,19,16
MICHIGAN-Nonmetropolitan Counties,Hillsdale,40,25,15
MICHIGAN-Nonmetropolitan Counties,Houghton,28,19,9
MICHIGAN-Nonmetropolitan Counties,Huron,45,21,24
MICHIGAN-Nonmetropolitan Counties,Iosco,22,4,18
MICHIGAN-Nonmetropolitan Counties,Iron,18,9,9
MICHIGAN-Nonmetropolitan Counties,Isabella,48,22,26
MICHIGAN-Nonmetropolitan Counties,Kalkaska,34,16,18
MICHIGAN-Nonmetropolitan Counties,Keweenaw,8,6,2
MICHIGAN-Nonmetropolitan Counties,Lake,74,17,57
MICHIGAN-Nonmetropolitan Counties,Leelanau,19,18,1
MICHIGAN-Nonmetropolitan Counties,Lenawee,97,42,55
MICHIGAN-Nonmetropolitan Counties,Luce,5,4,1
MICHIGAN-Nonmetropolitan Counties,Mackinac,24,11,13
MICHIGAN-Nonmetropolitan Counties,Manistee,32,15,17
MICHIGAN-Nonmetropolitan Counties,Marquette,57,24,33
MICHIGAN-Nonmetropolitan Counties,Mason,40,20,20
MICHIGAN-Nonmetropolitan Counties,Mecosta,48,23,25
MICHIGAN-Nonmetropolitan Counties,Menominee,30,13,17
MICHIGAN-Nonmetropolitan Counties,Midland,56,28,28
MICHIGAN-Nonmetropolitan Counties,Missaukee,28,13,15
MICHIGAN-Nonmetropolitan Counties,Montcalm,57,28,29
MICHIGAN-Nonmetropolitan Counties,Montmorency,24,10,14
MICHIGAN-Nonmetropolitan Counties,Oceana,37,21,16
MICHIGAN-Nonmetropolitan Counties,Ogemaw,34,16,18
MICHIGAN-Nonmetropolitan Counties,Ontonagon,11,8,3
MICHIGAN-Nonmetropolitan Counties,Osceola,37,18,19
MICHIGAN-Nonmetropolitan Counties,Oscoda,17,11,6
MICHIGAN-Nonmetropolitan Counties,Otsego,23,10,13
MICHIGAN-Nonmetropolitan Counties,Presque Isle,24,13,11
MICHIGAN-Nonmetropolitan Counties,Roscommon,39,25,14
MICHIGAN-Nonmetropolitan Counties,Sanilac,55,24,31
MICHIGAN-Nonmetropolitan Counties,Schoolcraft,11,3,8
MICHIGAN-Nonmetropolitan Counties,Shiawassee,66,31,35
MICHIGAN-Nonmetropolitan Counties,St. Joseph,50,25,25
MICHIGAN-Nonmetropolitan Counties,Tuscola,49,26,23
MICHIGAN-Nonmetropolitan Counties,Wexford,49,23,26
MINNESOTA-Metropolitan Counties,Anoka,238,122,116
MINNESOTA-Metropolitan Counties,Benton,74,27,47
MINNESOTA-Metropolitan Counties,Blue Earth,92,25,67
MINNESOTA-Metropolitan Counties,Carlton,46,19,27
MINNESOTA-Metropolitan Counties,Carver,146,70,76
MINNESOTA-Metropolitan Counties,Chisago,78,38,40
MINNESOTA-Metropolitan Counties,Clay,67,30,37
MINNESOTA-Metropolitan Counties,Dakota,157,79,78
MINNESOTA-Metropolitan Counties,Dodge,29,22,7
MINNESOTA-Metropolitan Counties,Hennepin,745,330,415
MINNESOTA-Metropolitan Counties,Houston,25,12,13
MINNESOTA-Metropolitan Counties,Isanti,59,20,39
MINNESOTA-Metropolitan Counties,Nicollet,38,12,26
MINNESOTA-Metropolitan Counties,Olmsted,159,61,98
MINNESOTA-Metropolitan Counties,Polk,27,22,5
MINNESOTA-Metropolitan Counties,Ramsey,400,219,181
MINNESOTA-Metropolitan Counties,Scott,124,40,84
MINNESOTA-Metropolitan Counties,Sherburne,240,81,159
MINNESOTA-Metropolitan Counties,Stearns,178,60,118
MINNESOTA-Metropolitan Counties,St. Louis,231,98,133
MINNESOTA-Metropolitan Counties,Wabasha,29,17,12
MINNESOTA-Metropolitan Counties,Washington,223,90,133
MINNESOTA-Metropolitan Counties,Wright,229,137,92
MINNESOTA-Nonmetropolitan Counties,Aitkin,46,17,29
MINNESOTA-Nonmetropolitan Counties,Becker,56,21,35
MINNESOTA-Nonmetropolitan Counties,Beltrami,69,30,39
MINNESOTA-Nonmetropolitan Counties,Big Stone,8,5,3
MINNESOTA-Nonmetropolitan Counties,Brown,36,10,26
MINNESOTA-Nonmetropolitan Counties,Cass,58,37,21
MINNESOTA-Nonmetropolitan Counties,Chippewa,18,8,10
MINNESOTA-Nonmetropolitan Counties,Clearwater,24,10,14
MINNESOTA-Nonmetropolitan Counties,Cook,19,11,8
MINNESOTA-Nonmetropolitan Counties,Cottonwood,19,9,10
MINNESOTA-Nonmetropolitan Counties,Crow Wing,116,36,80
MINNESOTA-Nonmetropolitan Counties,Douglas,76,33,43
MINNESOTA-Nonmetropolitan Counties,Faribault,26,9,17
MINNESOTA-Nonmetropolitan Counties,Fillmore,31,19,12
MINNESOTA-Nonmetropolitan Counties,Freeborn,65,24,41
MINNESOTA-Nonmetropolitan Counties,Goodhue,100,40,60
MINNESOTA-Nonmetropolitan Counties,Grant,11,6,5
MINNESOTA-Nonmetropolitan Counties,Hubbard,42,16,26
MINNESOTA-Nonmetropolitan Counties,Itasca,68,52,16
MINNESOTA-Nonmetropolitan Counties,Jackson,25,13,12
MINNESOTA-Nonmetropolitan Counties,Kanabec,47,19,28
MINNESOTA-Nonmetropolitan Counties,Kandiyohi,102,33,69
MINNESOTA-Nonmetropolitan Counties,Kittson,10,5,5
MINNESOTA-Nonmetropolitan Counties,Koochiching,18,10,8
MINNESOTA-Nonmetropolitan Counties,Lac Qui Parle,8,4,4
MINNESOTA-Nonmetropolitan Counties,Lake,29,17,12
MINNESOTA-Nonmetropolitan Counties,Lake of the Woods,8,4,4
MINNESOTA-Nonmetropolitan Counties,Le Sueur,31,16,15
MINNESOTA-Nonmetropolitan Counties,Lincoln,11,5,6
MINNESOTA-Nonmetropolitan Counties,Lyon,47,14,33
MINNESOTA-Nonmetropolitan Counties,Mahnomen,18,12,6
MINNESOTA-Nonmetropolitan Counties,Marshall,18,12,6
MINNESOTA-Nonmetropolitan Counties,Martin,30,12,18
MINNESOTA-Nonmetropolitan Counties,McLeod,57,23,34
MINNESOTA-Nonmetropolitan Counties,Meeker,44,20,24
MINNESOTA-Nonmetropolitan Counties,Mille Lacs,63,24,39
MINNESOTA-Nonmetropolitan Counties,Morrison,52,19,33
MINNESOTA-Nonmetropolitan Counties,Mower,64,21,43
